"","group","keywords"
"34","neighbourhood","neighbourhood neighbourhoods neighbourhoodplanning"
"35","passivehouse","passivhaus passive passivehouse passivhaustrust passivehousebb passivhausnews passivelogical passiveacademy passivehousecal phplusmag phpp"
"36","plumbing","pbplumber plumbing bathroom bath plumbingac bathrooms pbmag plumbpal plumbpalproduct pbmmagazine phpi"
"37","poverty","poverty ukpoverty fuelpoverty"
"38","property","propertynews propertyweek propertyshe propertydanh propertyhour ukproperty propertywire"
"39","renewables","renewables renewable pv renewableenergy solarpv solarpowerport renewableuk solarenergy solarpowereu solarcentury solaraid solarimpulse solareditor renews"
"40","rent","rent tenants tenant rental rents rented renting tenancy renters tenancydeposits tenancies tenure"
"41","retrofit","renovation retrofit repairs repair replacement restoration replacing replaced retrofitawards"
"42","residential","residents residential residence"
"43","RIBA","riba ribaj ribaawards ribanorthwest ribalondon ribanortheast ribaarchitect ribasoutheast ribaeastmidland ribawestmids ribayorkshire ribanorth ribabookshops ribas ribacomps"
"44","RICS","ricsnews rics ricsawards ricseurope ricsmatrics ricschiefexec ricsapc ricsamericas ricssota ricswales ricsnorth ricsrecruit ricsscotland ricsfutures ricseastmids ricsresi ricssouth ricscpd ricsmodus"
"45","roof","roof roofing roofs rooflights roofingtoday roofers greenroofs roofingawards rooftophousing greenroof ukroofingawards rooflight roofer rooftop"
"46","skills","training skills apprenticeships apprenticeship apprentice apprentices citbuk citb citbscotland citbwales traintradeskills"
"47","smart","smart smartcities"
"48","surveying","surveying surveyors surveyor surveyingthefuture surveys"
"49","sustainability","sustainable sustainability"
"50","tax and benefits","benefits righttobuy bedroomtax"
"51","timber","timber wood timbercomposite wooden timberexpo woodawards"
"52","trades","tradestalk trades tradetalk tradesmen"
